City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cabo san lucas,22.8909,-109.9124,292.32,75,75,3.09,MX,1676605061
84,hasaki,35.7333,140.8333,282.37,66,96,3.94,JP,1676605061
85,palora,-1.7,-77.9333,291.81,97,29,0.96,EC,1676605062
86,nikolskoye,59.7035,30.7861,268.09,93,100,4.66,RU,1676605062
87,praia da vitoria,38.7333,-27.0667,287.46,82,20,5.82,PT,1676605062
88,ixtapa,20.7,-105.2,294.72,78,40,1.54,MX,1676605063
89,pundaguitan,6.3711,126.1689,299.96,74,100,5.07,PH,1676605063
90,saskylakh,71.9167,114.0833,248.6,100,99,0.69,RU,1676605064
91,laramie,41.3114,-105.5911,264.79,74,0,2.06,US,1676604846
92,yumen,40.2833,97.2,272.3,71,100,10.79,CN,1676605064
93,sydney,-33.8679,151.2073,308.09,59,20,9.77,AU,1676604820
94,comodoro rivadavia,-45.8667,-67.5,283.07,53,40,7.2,AR,1676604886
95,mezen,65.8522,44.24,262.71,86,19,6.17,RU,1676605065
96,hermanus,-34.4187,19.2345,291.37,86,100,7.32,ZA,1676605065
97,klaksvik,62.2266,-6.589,276.66,66,100,4.08,FO,1676605066
98,naze,28.3667,129.4833,290.66,64,94,4.02,JP,1676605066
99,hami,42.8,93.45,274.7,32,46,4.48,CN,1676605067
100,port elizabeth,-33.918,25.5701,294.31,83,0,2.06,ZA,1676605067
101,port lincoln,-34.7333,135.8667,296.12,51,0,5.81,AU,1676605068
102,banda aceh,5.5577,95.3222,301.92,65,44,1.96,ID,1676605068
103,dikson,73.5069,80.5464,249.77,99,86,2.84,RU,1676605068
104,mount gambier,-37.8333,140.7667,298.75,42,0,4.43,AU,1676605069
105,byron bay,-28.65,153.6167,302.01,54,6,3.03,AU,1676604585
106,faya,18.3851,42.4509,285.44,86,27,2.07,SA,1676605069
107,mandla,22.6,80.3833,296.41,31,6,2.96,IN,1676605070
108,orumiyeh,37.5527,45.0761,263.9,53,0,3.09,IR,1676605070
